assigned_oven,job_id,start_time,end_time,m_j,c_j
1,2,15.0,113.62,0.0,0.0
1,6,128.62,228.14,0.0,0.0
1,3,228.14,328.84999999999997,0.0,0.0
2,1,18.81,116.17,0.0,0.0
2,5,116.17,213.92000000000002,0.0,0.0
2,4,228.92000000000002,328.21000000000004,0.0,0.0
