Batch,Oven,Shelf,Item_ID,Recipe,p_i,r_i,delta_t,m_i,c_i,Area,Batch_Duration
4,2,3.0,235,3,71.72,6.9,45,4.17,2.73,9191.0,100.71
4,2,3.0,209,3,96.83,11.64,45,6.92,4.72,8310.0,100.71
4,2,3.0,218,3,98.59,12.81,30,6.99,5.82,8303.0,100.71
4,2,3.0,233,3,77.59,8.73,45,5.53,3.2,7275.0,100.71
4,2,4.0,207,3,96.75,9.73,30,5.92,3.81,6976.0,100.71
4,2,4.0,137,3,87.83,13.86,30,6.23,7.63,6930.0,100.71
4,2,4.0,178,3,84.25,7.97,45,5.0,2.97,6811.0,100.71
4,2,3.0,141,3,73.52,9.85,30,4.32,5.53,6279.0,100.71
4,2,4.0,203,3,78.34,8.71,45,5.49,3.22,6160.0,100.71
4,2,4.0,202,3,84.09,10.78,45,6.9,3.88,6018.0,100.71
4,2,4.0,135,3,74.26,11.5,30,6.05,5.45,4992.0,100.71
4,2,4.0,119,3,93.51,9.94,30,5.44,4.5,4482.0,100.71
4,2,4.0,182,3,90.9,8.49,30,5.4,3.09,4356.0,100.71
4,2,4.0,195,3,96.69,9.1,30,5.88,3.22,4292.0,100.71
4,2,4.0,138,3,88.43,12.61,60,6.08,6.53,4136.0,100.71
4,2,4.0,140,3,100.71,11.9,60,5.98,5.92,3912.0,100.71
4,2,4.0,130,3,99.06,10.12,60,5.84,4.28,3451.0,100.71
4,2,2.0,188,3,96.9,11.86,45,7.74,4.12,3240.0,100.71
4,2,4.0,201,3,90.7,8.29,60,5.38,2.9,3240.0,100.71
4,2,4.0,122,3,79.34,9.26,60,5.46,3.81,2952.0,100.71
4,2,4.0,158,3,71.23,8.98,30,5.93,3.04,2754.0,100.71
4,2,4.0,152,3,84.12,7.51,30,4.95,2.56,2655.0,100.71
4,2,4.0,139,3,92.95,13.92,30,7.47,6.45,2454.0,100.71
4,2,4.0,190,3,96.42,11.69,45,7.74,3.96,2440.0,100.71
4,2,4.0,133,3,91.35,9.36,60,5.44,3.91,2400.0,100.71
4,2,4.0,165,3,96.68,10.27,30,6.8,3.47,2385.0,100.71
4,2,4.0,136,3,99.52,11.5,30,6.01,5.5,2382.0,100.71
4,2,4.0,171,3,78.03,8.19,60,5.43,2.76,2350.0,100.71
4,2,4.0,124,3,97.99,9.51,45,5.84,3.68,2310.0,100.71
4,2,4.0,181,3,72.15,6.09,30,4.0,2.09,2268.0,100.71
4,2,4.0,117,3,79.72,7.61,45,4.48,3.14,2043.0,100.71
4,2,4.0,167,3,90.15,10.95,60,7.29,3.66,1890.0,100.71
4,2,4.0,132,3,98.64,11.19,30,6.76,4.42,1632.0,100.71
4,2,4.0,116,3,92.85,12.5,60,7.32,5.18,1620.0,100.71
4,2,4.0,93,3,72.06,7.55,45,4.93,2.62,1529.0,100.71
4,2,4.0,145,3,90.92,9.44,60,6.3,3.14,1300.0,100.71
4,2,4.0,71,3,71.74,8.8,60,5.87,2.92,1160.0,100.71
4,2,4.0,64,3,72.36,5.95,30,3.96,1.99,1040.0,100.71
4,2,4.0,67,3,78.63,8.04,60,5.37,2.67,940.0,100.71
4,2,4.0,108,3,85.77,10.22,45,6.74,3.48,858.0,100.71
4,2,4.0,87,3,79.02,8.09,60,5.34,2.75,832.0,100.71
4,2,4.0,98,3,90.48,10.92,30,7.23,3.69,780.0,100.71
4,2,4.0,77,3,96.91,8.65,30,5.77,2.87,728.0,100.71
4,2,4.0,89,3,85.44,7.37,45,4.86,2.51,728.0,100.71
4,2,4.0,99,3,72.94,5.95,45,3.94,2.01,602.0,100.71
4,2,4.0,95,3,79.85,8.18,45,5.32,2.86,564.0,100.71
4,2,4.0,80,3,96.93,11.47,30,7.67,3.8,551.0,100.71
4,2,4.0,57,3,96.92,11.46,60,7.66,3.8,468.0,100.71
4,2,4.0,69,3,96.73,10.03,45,6.71,3.31,424.0,100.71
4,2,1.0,31,3,78.08,9.39,30,6.31,3.09,342.0,100.71
4,2,4.0,79,3,96.93,10.01,60,6.72,3.3,336.0,100.71
4,2,4.0,32,3,78.33,7.97,60,5.36,2.62,323.0,100.71
4,2,4.0,16,3,84.23,7.24,60,4.86,2.37,320.0,100.71
4,2,4.0,28,3,90.95,7.91,45,5.31,2.6,272.0,100.71
4,2,4.0,5,3,90.94,7.91,60,5.32,2.6,247.0,100.71
4,2,4.0,18,3,78.2,6.54,45,4.4,2.14,224.0,100.71
4,2,4.0,23,3,71.87,7.28,60,4.9,2.38,220.0,100.71
4,2,4.0,43,3,78.15,7.95,30,5.34,2.61,176.0,100.71
4,2,4.0,37,3,97.3,10.01,30,6.72,3.29,168.0,100.71
4,2,2.0,30,3,72.64,5.84,45,3.93,1.91,133.0,100.71
4,2,4.0,34,3,96.86,8.58,45,5.76,2.82,126.0,100.71
4,2,4.0,3,3,84.9,8.63,60,5.8,2.83,112.0,100.71
4,2,4.0,15,3,97.31,8.58,60,5.75,2.82,90.0,100.71
4,2,4.0,38,3,84.37,8.63,45,5.8,2.83,64.0,100.71
5,2,1.0,271,3,71.2,11.8,45,5.5,6.3,35805.0,71.2
5,2,1.0,245,3,70.94,7.96,45,4.34,3.63,19596.0,71.2
5,2,1.0,248,3,70.94,9.65,60,6.08,3.57,8736.0,71.2
6,2,1.0,284,2,71.18,14.11,60,5.03,9.08,72910.0,72.18
6,2,1.0,274,2,72.18,10.19,60,5.28,4.91,20544.0,72.18
6,2,1.0,244,2,70.91,8.57,45,5.19,3.38,11218.0,72.18
6,2,1.0,184,2,71.43,9.4,60,5.98,3.43,5904.0,72.18
6,2,1.0,187,2,72.18,6.44,30,4.06,2.37,5050.0,72.18
6,2,1.0,143,2,71.48,7.55,60,4.98,2.56,2650.0,72.18
6,2,1.0,149,2,71.36,8.81,45,5.91,2.91,1175.0,72.18
6,2,1.0,74,2,72.09,8.74,45,5.86,2.88,672.0,72.18
6,2,1.0,86,2,72.09,7.33,45,4.89,2.44,616.0,72.18
6,2,1.0,58,2,71.92,7.31,60,4.89,2.42,552.0,72.18
6,2,1.0,39,2,71.97,5.87,45,3.95,1.92,306.0,72.18
6,2,1.0,26,2,71.97,7.28,45,4.9,2.39,304.0,72.18
6,2,1.0,83,2,72.05,7.25,30,4.87,2.38,150.0,72.18
6,2,1.0,36,2,72.13,8.69,30,5.84,2.85,144.0,72.18
6,2,1.0,47,2,71.98,8.69,30,5.84,2.85,84.0,72.18
